train data: small + change data
momentum
lambda = 0.500000
mu = 0
mu *= 0.9999batch_size = 256
batch_num = 1024
3 layers: 69-256-256-481, cost: 1.008940
587, cost: 0.556019
588, cost: 0.555331
589, cost: 0.554576
590, cost: 0.554000
591, cost: 0.569190
592, cost: 0.568091
593, cost: 0.563597
594, cost: 0.563448
595, cost: 0.561162
596, cost: 0.559220
597, cost: 0.558607
598, cost: 0.556456
599, cost: 0.556029
600, cost: 0.555296
601, cost: 0.575837
602, cost: 0.573092
603, cost: 0.569478
604, cost: 0.568727
605, cost: 0.565903
606, cost: 0.564533
607, cost: 0.562568
608, cost: 0.561751
609, cost: 0.562275
610, cost: 0.560929
611, cost: 0.571785
612, cost: 0.568781
613, cost: 0.566941
614, cost: 0.565252
615, cost: 0.564394
616, cost: 0.561314
617, cost: 0.562235
618, cost: 0.560832
619, cost: 0.559313
620, cost: 0.557643
621, cost: 0.563101
622, cost: 0.560080
623, cost: 0.556531
624, cost: 0.556602
625, cost: 0.552568
626, cost: 0.553147
627, cost: 0.549861
628, cost: 0.549177
629, cost: 0.549363
630, cost: 0.548151
631, cost: 0.575321
632, cost: 0.572404
633, cost: 0.568314
634, cost: 0.565725
635, cost: 0.565574
636, cost: 0.564248
637, cost: 0.561742
638, cost: 0.559590
639, cost: 0.559603
640, cost: 0.557582
641, cost: 0.568624
642, cost: 0.564225
643, cost: 0.560349
644, cost: 0.559221
645, cost: 0.558914
646, cost: 0.556012
647, cost: 0.556163
648, cost: 0.553927
649, cost: 0.553045
650, cost: 0.550603
651, cost: 0.571475
652, cost: 0.568389
653, cost: 0.565704
654, cost: 0.562873
655, cost: 0.561780
656, cost: 0.561836
657, cost: 0.558415
658, cost: 0.558817
659, cost: 0.554794
660, cost: 0.555261
661, cost: 0.572571
662, cost: 0.567577
663, cost: 0.565668
664, cost: 0.561665
665, cost: 0.562277
666, cost: 0.558324
667, cost: 0.558710
668, cost: 0.555752
669, cost: 0.555681
670, cost: 0.553742
671, cost: 0.569054
672, cost: 0.564178
673, cost: 0.562887
674, cost: 0.559953
675, cost: 0.556622
676, cost: 0.558725
677, cost: 0.556953
678, cost: 0.554900
679, cost: 0.554604
680, cost: 0.552922
681, cost: 0.569854
682, cost: 0.565179
683, cost: 0.564089
684, cost: 0.562983
685, cost: 0.560904
686, cost: 0.559053
687, cost: 0.556987
688, cost: 0.558081
689, cost: 0.555993
690, cost: 0.555441
691, cost: 0.572504
692, cost: 0.568315
693, cost: 0.565871
694, cost: 0.563962
695, cost: 0.562758
696, cost: 0.561691
697, cost: 0.559796
698, cost: 0.557260
699, cost: 0.555857
700, cost: 0.557202
701, cost: 0.567824
702, cost: 0.564713
703, cost: 0.560987
704, cost: 0.560330
705, cost: 0.558853
706, cost: 0.559861
707, cost: 0.555799
708, cost: 0.554428
709, cost: 0.553782
710, cost: 0.553626
711, cost: 0.569321
712, cost: 0.566118
713, cost: 0.562234
714, cost: 0.561051
715, cost: 0.559992
716, cost: 0.556892
717, cost: 0.555110
718, cost: 0.553228
719, cost: 0.552679
720, cost: 0.552559
721, cost: 0.571407
722, cost: 0.567546
723, cost: 0.564340
724, cost: 0.561180
725, cost: 0.561484
726, cost: 0.559031
727, cost: 0.558857
728, cost: 0.557804
729, cost: 0.555816
730, cost: 0.554751
731, cost: 0.571077
732, cost: 0.567366
733, cost: 0.562474
734, cost: 0.559903
735, cost: 0.559131
736, cost: 0.557978
737, cost: 0.557844
738, cost: 0.555327
739, cost: 0.554517
740, cost: 0.554192
741, cost: 0.566967
742, cost: 0.565942
743, cost: 0.563354
744, cost: 0.559631
745, cost: 0.558624
746, cost: 0.557577
747, cost: 0.558025
748, cost: 0.555959
749, cost: 0.554374
750, cost: 0.553831
751, cost: 0.566331
752, cost: 0.561355
753, cost: 0.559756
754, cost: 0.558560
755, cost: 0.556779
