train data: small + change data
mu = 0.001000, decay = 0.999900
activation function: ReLU
batch_size = 128
batch_num = 1024
3 layers: 69-256-256-48
670, cost: 0.575603
671, cost: 0.575368
672, cost: 0.576692
673, cost: 0.575899
674, cost: 0.570119
675, cost: 0.569194
676, cost: 0.570384
677, cost: 0.568482
678, cost: 0.567370
679, cost: 0.565996
680, cost: 0.569877
681, cost: 0.589620
682, cost: 0.585339
683, cost: 0.581621
684, cost: 0.580720
685, cost: 0.575908
686, cost: 0.579632
687, cost: 0.579015
688, cost: 0.577085
689, cost: 0.575444
690, cost: 0.575382
691, cost: 0.572067
692, cost: 0.571677
693, cost: 0.568611
694, cost: 0.569292
695, cost: 0.568141
696, cost: 0.565414
697, cost: 0.567736
698, cost: 0.568976
699, cost: 0.564783
700, cost: 0.566056
701, cost: 0.586126
702, cost: 0.585296
703, cost: 0.578724
704, cost: 0.576363
705, cost: 0.575639
706, cost: 0.575294
707, cost: 0.570964
708, cost: 0.574956
709, cost: 0.572668
710, cost: 0.570284
711, cost: 0.569712
712, cost: 0.567795
713, cost: 0.564869
714, cost: 0.565801
715, cost: 0.565267
716, cost: 0.566983
717, cost: 0.562743
718, cost: 0.562414
719, cost: 0.565069
720, cost: 0.562449
721, cost: 0.587246
722, cost: 0.583799
723, cost: 0.578014
724, cost: 0.578040
725, cost: 0.578849
726, cost: 0.574033
727, cost: 0.574426
728, cost: 0.572284
729, cost: 0.572201
730, cost: 0.570188
731, cost: 0.567380
732, cost: 0.567671
733, cost: 0.570008
734, cost: 0.567424
735, cost: 0.567518
736, cost: 0.565934
737, cost: 0.562177
738, cost: 0.564992
739, cost: 0.563937
740, cost: 0.560422
741, cost: 0.582782
742, cost: 0.579755
743, cost: 0.578961
744, cost: 0.576166
745, cost: 0.571741
746, cost: 0.574178
747, cost: 0.568135
748, cost: 0.569205
749, cost: 0.567470
750, cost: 0.567091
751, cost: 0.567544
752, cost: 0.564508
753, cost: 0.565334
754, cost: 0.562574
755, cost: 0.564803
756, cost: 0.560842
757, cost: 0.560656
758, cost: 0.562662
759, cost: 0.557983
760, cost: 0.559607
It cost 302.439150 mins
