iteration,cost
1411,2.068116
1412,2.065317
1413,2.054618
1414,2.056151
1415,2.049606
1416,2.044399
1417,2.050083
1418,2.050222
1419,2.065243
1420,2.049652
1421,2.036373
1422,2.052584
1423,2.035880
1424,2.040358
1425,2.041445
1426,2.049362
1427,2.046102
1428,2.044359
1429,2.062145
1430,2.039484
1431,2.060963
1432,2.049627
1433,2.068940
1434,2.050765
1435,2.044409
1436,2.087300
1437,2.051295
1438,2.077356
1439,2.040912
1440,2.060366
1441,2.041795
1442,2.075372
1443,2.036781
1444,2.039126
1445,2.065402
1446,2.038758
1447,2.020753
1448,2.052297
1449,2.062362
1450,2.057769
1451,2.047413
1452,2.041287
1453,2.009914
1454,2.033745
1455,2.093557
1456,2.055861
1457,2.054227
1458,2.057116
1459,2.050256
1460,2.052590
1461,2.058444
1462,2.021791
1463,2.039626
1464,2.031842
1465,2.034257
1466,2.059417
1467,2.075356
1468,2.027680
1469,2.041836
1470,2.056077
1471,2.063563
1472,2.047905
1473,2.062444
1474,2.034894
1475,2.037130
1476,2.030418
1477,2.047514
1478,2.047571
1479,2.087508
1480,2.043555
1481,2.049702
1482,2.058191
1483,2.052874
1484,2.047115
1485,2.053065
1486,2.074128
1487,2.028479
1488,2.043782
1489,2.030933
1490,2.023095
1491,2.052770
1492,2.051112
1493,2.033750
1494,2.067554
1495,2.049511
1496,2.041444
1497,2.036812
1498,2.044413
1499,2.053565
1500,2.054468
1501,2.051808
1502,2.037462
1503,2.048194
1504,2.046271
1505,2.039112
1506,2.031560
1507,2.044249
1508,2.045409
1509,2.053727
1510,2.042145
1511,2.036865
1512,2.049923
1513,2.039064
1514,2.038294
1515,2.039632
1516,2.031051
1517,2.054983
1518,2.031462
1519,2.057061
1520,2.066167
1521,2.053422
1522,2.052744
1523,2.024881
1524,2.027383
1525,2.047884
1526,2.074196
1527,2.015166
1528,2.034400
1529,2.028299
1530,2.044380
1531,2.057219
1532,2.029621
1533,2.035560
1534,2.047279
1535,2.034136
1536,2.039207
1537,2.057361
1538,2.051619
1539,2.037234
1540,2.049219
1541,2.057553
1542,2.015513
1543,2.034810
1544,2.039232
1545,2.022391
1546,2.040097
1547,2.045095
1548,2.010720
1549,2.014984
1550,2.027132
1551,2.027680
1552,2.008505
1553,2.054900
1554,2.047496
1555,2.016132
1556,2.041004
1557,2.058090
1558,2.040534
1559,2.053496
1560,2.052948
1561,2.032331
1562,2.041830
1563,2.039064
1564,2.032730
1565,2.035142
1566,2.043031
1567,2.044105
1568,2.028188
1569,2.050865
1570,2.066053
1571,2.019389
1572,2.021933
1573,2.032265
1574,2.033181
1575,2.018761
1576,2.013214
1577,2.012282
1578,2.043470
1579,2.025672
1580,2.047859
1581,2.026474
1582,2.034794
1583,2.038145
1584,2.038516
1585,2.031940
1586,2.051822
1587,2.026594
1588,2.044831
1589,2.018431
1590,2.025933
1591,2.037077
1592,2.034458
1593,2.044980
1594,2.029121
1595,2.014649
1596,2.006778
1597,2.029193
1598,2.026279
1599,2.014122
1600,2.019025
1601,2.023083
1602,2.022805
1603,2.025425
1604,2.030670
1605,2.023900
1606,2.050685
1607,2.031126
1608,2.049364
1609,2.046309
1610,2.021370
1611,2.020894
1612,2.022313
1613,2.037107
1614,2.010121
1615,2.039897
1616,2.033810
1617,2.032331
1618,2.030083
1619,2.045205
1620,2.028323
1621,2.038964
1622,2.024392
1623,2.048943
1624,2.043242
1625,2.032333
1626,2.036290
1627,2.032343
1628,2.036189
1629,2.038354
1630,2.014691
1631,2.045017
1632,2.028058
1633,2.036857
1634,2.044062
1635,2.005279
1636,2.043664
1637,2.052613
1638,2.019053
1639,2.015182
1640,1.991444
1641,2.032535
1642,2.047228
1643,2.046623
1644,2.030782
1645,2.033006
1646,2.046069
1647,2.027635
1648,2.035985
1649,2.040535
1650,2.029544
1651,2.045527
1652,2.025334
1653,2.030765
1654,2.045393
1655,2.038234
1656,2.024578
1657,2.029868
1658,2.039098
1659,2.001712
1660,2.043443
1661,2.020007
1662,2.031837
1663,2.023632
1664,2.032421
1665,2.042282
1666,2.015809
1667,2.043821
1668,1.996792
1669,2.040783
1670,2.036696
1671,2.017008
1672,2.033460
1673,2.005663
1674,2.012753
1675,2.007766
1676,2.034507
1677,2.036979
1678,2.028192
1679,2.020257
1680,2.022166
1681,2.010215
1682,2.038392
1683,2.047704
1684,2.025463
1685,2.019970
1686,2.010357
1687,2.021560
1688,2.007098
1689,2.010009
1690,2.035950
1691,2.021308
1692,1.999471
1693,2.037106
1694,2.012907
1695,2.013733
1696,2.029553
1697,2.002298
1698,2.042931
1699,2.038402
1700,2.033933
1701,2.013081
1702,2.016804
1703,2.055627
1704,2.020578
1705,2.003578
1706,2.013877
1707,2.032055
1708,2.018656
1709,2.027758
1710,2.052718
1711,2.022910
1712,2.033936
1713,2.032039
1714,2.031492
1715,2.046818
1716,2.043110
1717,2.026437
1718,2.046419
1719,2.043837
1720,2.012338
1721,2.007215
1722,2.011348
1723,2.026607
1724,2.005317
1725,2.007289
1726,2.041909
1727,2.036412
1728,1.994615
1729,2.019657
1730,2.015037
1731,2.012423
1732,2.016399
1733,2.001854
1734,1.981480
1735,2.012001
1736,2.000624
1737,2.019864
1738,2.027901
1739,2.010986
1740,2.017561
1741,2.022097
1742,2.015655
1743,2.038183
1744,2.028531
1745,2.037559
1746,2.025196
1747,2.018554
1748,2.027105
1749,2.028258
1750,2.010592
1751,2.033094
1752,2.040008
1753,1.993512
1754,2.020940
1755,2.006111
1756,2.009947
1757,2.013398
1758,2.029768
1759,2.016718
1760,2.019478
1761,1.999581
1762,2.020115
1763,2.032263
1764,2.011943
1765,2.002093
1766,2.010597
1767,2.013924
1768,2.021322
1769,2.006594
1770,2.008778
1771,2.033337
1772,2.012280
1773,2.005733
1774,2.013215
1775,2.016417
1776,2.004954
1777,2.011493
1778,2.030834
1779,2.029348
1780,2.021680
1781,2.013031
1782,2.012720
1783,2.033486
1784,2.020955
1785,2.029514
1786,2.002099
1787,2.007257
1788,2.011548
1789,2.002685
1790,2.033184
1791,1.985977
1792,2.034433
1793,2.002826
1794,2.030724
1795,1.996214
1796,2.021865
1797,2.015105
1798,2.001333
1799,1.999401
1800,2.006207
1801,2.038934
1802,2.006931
1803,2.009262
1804,2.028445
1805,2.000144
1806,2.006100
1807,2.027527
1808,2.038058
1809,2.008989
1810,2.001404
1811,2.048707
1812,2.005478
1813,2.010242
1814,2.002837
1815,2.018063
1816,2.016855
1817,2.003493
1818,1.980776
1819,2.045818
1820,2.012490
1821,2.017127
1822,2.021020
1823,2.000345
1824,2.004772
1825,2.024585
1826,2.026097
1827,2.016051
1828,2.006733
1829,2.015930
1830,2.021660
1831,1.997231
1832,2.026710
1833,1.996754
1834,1.998672
1835,2.025911
1836,2.005077
1837,1.990982
1838,2.018104
1839,2.011533
1840,1.998398
1841,2.021526
1842,2.027127
1843,2.026711
1844,1.975958
1845,2.020234
1846,2.011156
1847,2.018842
1848,2.000876
1849,1.999429
1850,1.981663
1851,2.006931
1852,1.997573
1853,2.033743
1854,1.979588
1855,2.019471
1856,2.012132
1857,2.002632
1858,2.007890
1859,2.008957
1860,2.005430
1861,2.024296
1862,2.005385
1863,2.008709
1864,2.024796
1865,2.001274
1866,1.995280
1867,2.030044
1868,1.998215
1869,2.006424
1870,1.997072
1871,1.989739
