iteration,cost
984,1.858559
985,1.851416
986,1.856663
987,1.842571
988,1.840925
989,1.835109
990,1.840414
991,1.842822
992,1.836253
993,1.844975
994,1.834515
995,1.842442
996,1.848456
997,1.839412
998,1.837712
999,1.845058
1000,1.845075
1001,1.836805
1002,1.823356
1003,1.820873
1004,1.840697
1005,1.832157
1006,1.826217
1007,1.830026
1008,1.844301
1009,1.809077
1010,1.837789
1011,1.844756
1012,1.834279
1013,1.838089
1014,1.820339
1015,1.834506
1016,1.825137
1017,1.833894
1018,1.829299
1019,1.831869
1020,1.825068
1021,1.842696
1022,1.834216
1023,1.820130
1024,1.840998
1025,1.831117
1026,1.829330
1027,1.831639
1028,1.846614
1029,1.831174
1030,1.804133
1031,1.805064
1032,1.813565
1033,1.824344
1034,1.831758
1035,1.826224
1036,1.804709
1037,1.824917
1038,1.825719
1039,1.833362
1040,1.833504
1041,1.822223
1042,1.833627
1043,1.833739
1044,1.826911
1045,1.826291
1046,1.814425
1047,1.815217
1048,1.822881
1049,1.838543
1050,1.816119
1051,1.824637
1052,1.825192
1053,1.832926
1054,1.816989
1055,1.823930
1056,1.827784
1057,1.840880
1058,1.809526
1059,1.822007
1060,1.819867
1061,1.820460
1062,1.816577
1063,1.817709
1064,1.809528
1065,1.835049
1066,1.840265
1067,1.826242
1068,1.827079
1069,1.820299
1070,1.818325
1071,1.811677
1072,1.827323
1073,1.808658
1074,1.808228
1075,1.810081
1076,1.824398
1077,1.812880
1078,1.807351
1079,1.825355
1080,1.805949
1081,1.820386
1082,1.815248
1083,1.801160
1084,1.811448
1085,1.824092
1086,1.817656
1087,1.820430
1088,1.801949
1089,1.815516
1090,1.812253
1091,1.819075
1092,1.797746
1093,1.808873
1094,1.818515
1095,1.814155
1096,1.826599
1097,1.814437
1098,1.823879
1099,1.816119
1100,1.811446
1101,1.813391
1102,1.811303
1103,1.815631
1104,1.805149
1105,1.796187
1106,1.821622
1107,1.808109
1108,1.816190
1109,1.808861
1110,1.815969
1111,1.797240
1112,1.815401
1113,1.818655
1114,1.816458
1115,1.811081
1116,1.808974
1117,1.800673
1118,1.815419
1119,1.829729
1120,1.804871
1121,1.801273
1122,1.823330
1123,1.819582
1124,1.809207
1125,1.804379
1126,1.815486
1127,1.779050
1128,1.809421
1129,1.804217
1130,1.825157
1131,1.806117
1132,1.804123
1133,1.790458
1134,1.805503
1135,1.828291
1136,1.806916
1137,1.794152
1138,1.820154
1139,1.798253
1140,1.807537
1141,1.799134
1142,1.796932
1143,1.818377
1144,1.807749
1145,1.807530
1146,1.802609
1147,1.812041
1148,1.803767
1149,1.797255
1150,1.799038
1151,1.798908
1152,1.783581
1153,1.810474
1154,1.809594
1155,1.803613
1156,1.791381
1157,1.798711
1158,1.779089
1159,1.805222
1160,1.792180
1161,1.797652
1162,1.810959
1163,1.792098
1164,1.789183
1165,1.803195
1166,1.802856
1167,1.803649
1168,1.786176
1169,1.788953
1170,1.807095
1171,1.805844
1172,1.773474
1173,1.790296
1174,1.782271
1175,1.787102
1176,1.790052
1177,1.783138
1178,1.798991
1179,1.804993
1180,1.805703
1181,1.789415
1182,1.788253
1183,1.800197
1184,1.790756
1185,1.808368
1186,1.776848
1187,1.792993
1188,1.796778
1189,1.776497
1190,1.812048
1191,1.795123
1192,1.786758
1193,1.800498
1194,1.791460
1195,1.796069
1196,1.790938
1197,1.781813
1198,1.792184
1199,1.787548
1200,1.783783
1201,1.783387
1202,1.794687
1203,1.786513
1204,1.787438
1205,1.791518
1206,1.791667
1207,1.777265
1208,1.802765
1209,1.785403
1210,1.793731
1211,1.787757
1212,1.781654
1213,1.775762
1214,1.784698
1215,1.778763
1216,1.782133
1217,1.801900
1218,1.778614
1219,1.779462
1220,1.783096
1221,1.803619
1222,1.808048
1223,1.769643
1224,1.798055
1225,1.773237
1226,1.774735
1227,1.787060
1228,1.789356
1229,1.770025
1230,1.791143
1231,1.772788
1232,1.803575
1233,1.768182
1234,1.777823
1235,1.781716
1236,1.786563
1237,1.790219
1238,1.773862
1239,1.770198
1240,1.755942
1241,1.794895
1242,1.792013
1243,1.772289
1244,1.777295
1245,1.771006
1246,1.778956
1247,1.777363
1248,1.769581
1249,1.787366
1250,1.780913
1251,1.768085
1252,1.772361
1253,1.759749
1254,1.760140
1255,1.773415
1256,1.765695
1257,1.771043
1258,1.774828
1259,1.781539
1260,1.785390
1261,1.775365
1262,1.768348
1263,1.768076
1264,1.771850
1265,1.766133
1266,1.785421
1267,1.777083
1268,1.764420
1269,1.775349
1270,1.776016
1271,1.783591
1272,1.780914
1273,1.766951
1274,1.784971
1275,1.767530
1276,1.772638
1277,1.766893
1278,1.770272
1279,1.754468
1280,1.785748
1281,1.770001
1282,1.780455
1283,1.783075
1284,1.775166
1285,1.768372
1286,1.780659
1287,1.758728
1288,1.783064
1289,1.764893
1290,1.763751
1291,1.777924
1292,1.779477
1293,1.770744
1294,1.776473
1295,1.764601
1296,1.757851
1297,1.762741
1298,1.793585
1299,1.744609
1300,1.766227
1301,1.772518
1302,1.773508
1303,1.770556
1304,1.769851
1305,1.782411
1306,1.772286
1307,1.771010
1308,1.753770
1309,1.786187
1310,1.774669
1311,1.759462
1312,1.766429
1313,1.744251
1314,1.764612
1315,1.757543
1316,1.768698
1317,1.757341
1318,1.774397
1319,1.768149
1320,1.763026
1321,1.762527
1322,1.764141
1323,1.772207
1324,1.764777
1325,1.782778
1326,1.739051
1327,1.749716
1328,1.746947
1329,1.771124
1330,1.754528
1331,1.757791
1332,1.751371
1333,1.750156
1334,1.746811
1335,1.749022
1336,1.762121
1337,1.753193
1338,1.761592
1339,1.773896
